May 29 07:37:37.611 WARNING: user_right_shoulder: buffer empty
May 29 07:37:37.611 WARNING: user_right_elbow: buffer empty
May 29 07:37:37.611 WARNING: user_right_hand: buffer empty
May 29 07:37:38.112 WARNING: user_head: buffer empty
May 29 07:37:38.112 WARNING: user_neck: buffer empty
May 29 07:37:38.112 WARNING: user_left_shoulder: buffer empty
May 29 07:37:38.112 WARNING: user_left_elbow: buffer empty
May 29 07:37:38.112 WARNING: user_left_hand: buffer empty
May 29 07:37:38.112 WARNING: user_right_shoulder: buffer empty
May 29 07:37:38.112 WARNING: user_right_elbow: buffer empty
May 29 07:37:38.112 WARNING: user_right_hand: buffer empty
May 29 07:37:38.612 WARNING: user_head: buffer empty
May 29 07:37:38.612 WARNING: user_neck: buffer empty
May 29 07:37:38.612 WARNING: user_left_shoulder: buffer empty
May 29 07:37:38.612 WARNING: user_left_elbow: buffer empty
May 29 07:37:38.612 WARNING: user_left_hand: buffer empty
May 29 07:37:38.612 WARNING: user_right_shoulder: buffer empty
May 29 07:37:38.612 WARNING: user_right_elbow: buffer empty
May 29 07:37:38.612 WARNING: user_right_hand: buffer empty
May 29 07:37:39.113 WARNING: user_head: buffer empty
May 29 07:37:39.113 WARNING: user_neck: buffer empty
May 29 07:37:39.113 WARNING: user_left_shoulder: buffer empty
May 29 07:37:39.113 WARNING: user_left_elbow: buffer empty
May 29 07:37:39.113 WARNING: user_left_hand: buffer empty
May 29 07:37:39.113 WARNING: user_right_shoulder: buffer empty
May 29 07:37:39.113 WARNING: user_right_elbow: buffer empty
May 29 07:37:39.113 WARNING: user_right_hand: buffer empty
May 29 07:37:39.613 WARNING: user_head: buffer empty
May 29 07:37:39.613 WARNING: user_neck: buffer empty
May 29 07:37:39.613 WARNING: user_left_shoulder: buffer empty
May 29 07:37:39.613 WARNING: user_left_elbow: buffer empty
May 29 07:37:39.613 WARNING: user_left_hand: buffer empty
May 29 07:37:39.613 WARNING: user_right_shoulder: buffer empty
May 29 07:37:39.613 WARNING: user_right_elbow: buffer empty
May 29 07:37:39.613 WARNING: user_right_hand: buffer empty
May 29 07:37:40.114 WARNING: user_head: buffer empty
May 29 07:37:40.114 WARNING: user_neck: buffer empty
May 29 07:37:40.114 WARNING: user_left_shoulder: buffer empty
May 29 07:37:40.114 WARNING: user_left_elbow: buffer empty
May 29 07:37:40.114 WARNING: user_left_hand: buffer empty
